# Calibration Results
# Format: filename, R11, R12, R13, R21, R22, R23, R31, R32, R33, tx, ty, tz
# ========================================
0, -0.000887738, -0.999895, -0.0144874, -0.00352491, 0.0144905, -0.999889, 0.999993, -0.000836573, -0.00353741, 0.0147347, 0.0634286, 0.0390988
1, 0.00589252, -0.999782, -0.0200196, -0.00755912, 0.0199749, -0.999772, 0.999954, 0.00604251, -0.00743977, -0.00215297, 0.0771818, 0.0373742
2, 0.00673908, -0.999891, -0.0131266, -0.00920399, 0.0130644, -0.999872, 0.999935, 0.00685904, -0.00911495, -0.0128901, 0.0822506, 0.0276981
3, -0.0023945, -0.999859, -0.0166218, -0.00633951, 0.0166367, -0.999842, 0.999977, -0.00228874, -0.00637846, 0.0114252, 0.0765631, 0.0334939
4, 0.00826438, -0.999889, -0.0123786, -0.00783532, 0.0123139, -0.999893, 0.999935, 0.00836049, -0.00773268, -0.0175669, 0.0773841, 0.0366949
5, -0.00393686, -0.999894, -0.01402, -0.00726528, 0.0140483, -0.999875, 0.999966, -0.00383451, -0.00731982, 0.0185476, 0.0791519, 0.0303035
6, -0.00310875, -0.999863, -0.0162645, -0.00297405, 0.0162738, -0.999863, 0.999991, -0.00305995, -0.00302423, 0.016443, 0.065507, 0.0357403
7, -0.00240637, -0.999775, -0.0210526, -0.00439464, 0.0210631, -0.999768, 0.999987, -0.0023133, -0.00444434, 0.0138097, 0.0651972, 0.0373254
8, 0.00710659, -0.999845, -0.0161223, -0.00478782, 0.0160885, -0.999859, 0.999963, 0.00718278, -0.00467275, -0.0155875, 0.0693994, 0.0271629
9, 0.0083714, -0.999863, -0.0142687, -0.00767919, 0.0142045, -0.99987, 0.999935, 0.00847988, -0.00755923, -0.0143927, 0.0757362, 0.0213539
10, 0.00580972, -0.999902, -0.0127442, -0.0101911, 0.0126845, -0.999868, 0.999931, 0.00593883, -0.0101164, -0.00362951, 0.082364, 0.0184737
11, 0.00248609, -0.999826, -0.0185054, -0.00889385, 0.0184826, -0.99979, 0.999957, 0.00265016, -0.00884635, -0.00104782, 0.0807188, 0.0281922
12, 0.00562741, -0.999906, -0.0125322, -0.00997393, 0.0124757, -0.999872, 0.999934, 0.00575168, -0.00990278, -0.00510503, 0.0827096, 0.0225389
13, 0.00477678, -0.99983, -0.0177811, -0.00437075, 0.0177603, -0.999833, 0.999979, 0.0048537, -0.00428517, -0.00784843, 0.0641348, 0.0310784
14, 0.00837183, -0.999863, -0.014268, -0.00767936, 0.0142038, -0.99987, 0.999935, 0.0084803, -0.0075594, -0.0143941, 0.0757374, 0.0213535
