# Calibration Results
# Format: filename, R11, R12, R13, R21, R22, R23, R31, R32, R33, tx, ty, tz
# ========================================
0, 0.0028057, -0.999857, -0.0166761, -0.00123466, 0.0166727, -0.99986, 0.999995, 0.0028259, -0.00118771, 0.006446, 0.0582735, 0.0306434
1, 0.00220865, -0.999838, -0.0178645, -0.00124492, 0.0178618, -0.99984, 0.999997, 0.00223053, -0.00120527, 0.00924198, 0.0585406, 0.030607
2, 0.00367827, -0.999882, -0.0148947, -0.00330108, 0.0148826, -0.999884, 0.999988, 0.00372701, -0.00324595, 0.00411124, 0.0626784, 0.0285686
3, 0.00269288, -0.999873, -0.0156955, -0.00157301, 0.0156913, -0.999876, 0.999995, 0.00271723, -0.00153055, 0.00648504, 0.058212, 0.0328971
4, 0.00324621, -0.99987, -0.0158032, -0.00162554, 0.015798, -0.999874, 0.999993, 0.00327149, -0.00157404, 0.00543792, 0.0581583, 0.0366421
5, 0.00255097, -0.99985, -0.0171412, -0.000291784, 0.0171406, -0.999853, 0.999997, 0.00255559, -0.000248016, 0.0072572, 0.0559268, 0.0312817
6, 0.00627281, -0.999865, -0.0151745, -0.000360347, 0.0151726, -0.999885, 0.99998, 0.00627755, -0.000265124, -0.00548785, 0.055662, 0.036397
7, 0.00240814, -0.999834, -0.0180497, -0.00286444, 0.0180428, -0.999833, 0.999993, 0.00245944, -0.00282051, 0.00868723, 0.06436, 0.0335239
8, 0.00471465, -0.999869, -0.0154933, -0.00295797, 0.0154794, -0.999876, 0.999985, 0.00475989, -0.0028846, -0.000277961, 0.0632543, 0.0401879
9, 0.00722489, -0.999876, -0.0140245, -0.00105101, 0.0140173, -0.999901, 0.999973, 0.00723891, -0.000949603, -0.00829555, 0.0595676, 0.0352008
10, 0.00352226, -0.999877, -0.0152747, -0.00152127, 0.0152695, -0.999882, 0.999993, 0.00354508, -0.0014673, 0.00487096, 0.0569657, 0.0400039
11, 0.00551592, -0.999851, -0.0163741, -0.00129078, 0.0163672, -0.999865, 0.999984, 0.00553631, -0.0012003, -0.00295288, 0.0591913, 0.0381636
12, 0.00653351, -0.999853, -0.0158813, -0.00179805, 0.0158699, -0.999872, 0.999977, 0.00656123, -0.0016941, -0.00664854, 0.060634, 0.0401672
13, 0.00418152, -0.999864, -0.0159394, -0.00335936, 0.0159254, -0.999868, 0.999986, 0.00423451, -0.00329231, 0.0027313, 0.0642635, 0.030418
14, 0.00864347, -0.999866, -0.0138998, -0.000825678, 0.0138932, -0.999903, 0.999962, 0.00865411, -0.000705482, -0.0159553, 0.0561032, 0.0385112
