# Calibration Results
# Format: filename, R11, R12, R13, R21, R22, R23, R31, R32, R33, tx, ty, tz
# ========================================
0, -0.00106858, -0.999999, 0.000629619, -0.00186939, -0.000627621, -0.999998, 0.999998, -0.00106976, -0.00186872, -0.000301975, 0.0534351, -0.00322099
1, -0.00119792, -0.999999, -2.28351e-05, -0.00116774, 2.4234e-05, -0.999999, 0.999999, -0.0011979, -0.00116777, -0.00166861, 0.0498691, -0.00233427
2, -0.000608959, -1, -0.000233617, -0.00132856, 0.000234426, -0.999999, 0.999999, -0.000608648, -0.0013287, -0.00470879, 0.0515334, -0.000813663
3, -0.000488531, -1, -0.000249462, -0.000712742, 0.00024981, -1, 1, -0.000488353, -0.000712864, -0.00551362, 0.0486839, 0.000893826
4, -0.00099224, -0.999999, -0.000128483, -0.00110229, 0.000129577, -0.999999, 0.999999, -0.000992097, -0.00110242, -0.00147206, 0.0487487, -0.00237087
5, -0.00099789, -0.999999, 0.000263649, -0.00110217, -0.000262549, -0.999999, 0.999999, -0.00099818, -0.00110191, -0.00178708, 0.0501671, -0.00137983
6, -0.00178225, -0.999998, -1.75122e-05, -0.00156697, 2.0305e-05, -0.999999, 0.999997, -0.00178222, -0.001567, 0.00216714, 0.0522906, -0.00262621
7, -0.0002809, -1, -0.000214148, -0.00092053, 0.000214406, -1, 1, -0.000280703, -0.00092059, -0.00755727, 0.0478504, 0.000726194
8, -0.000839753, -1, -0.000252049, -0.000889705, 0.000252796, -1, 0.999999, -0.000839529, -0.000889917, -0.00369371, 0.0484836, -0.00114663
9, -0.00137346, -0.999999, 1.80698e-05, -0.00162225, -1.58417e-05, -0.999999, 0.999998, -0.00137349, -0.00162223, 0.000294821, 0.0523174, -0.000615676
10, -0.00195692, -0.999998, 0.000346454, -0.000953634, -0.000344588, -0.999999, 0.999998, -0.00195725, -0.000952958, 0.0040369, 0.0486387, 0.000891135
11, -0.00127437, -0.999999, 0.00033994, -0.00118311, -0.000338432, -0.999999, 0.999998, -0.00127477, -0.00118268, 0.00050087, 0.0499907, 0.0014187
12, -0.00140638, -0.999999, -2.03733e-05, -0.0014621, 2.24296e-05, -0.999999, 0.999998, -0.00140635, -0.00146213, 0.000503309, 0.0520011, 0.00300391
13, -0.00112603, -0.999999, 3.94917e-05, -0.00153687, -3.77611e-05, -0.999999, 0.999998, -0.00112609, -0.00153683, 0.000289143, 0.0520026, 0.00161393
14, -0.001671, -0.999998, 0.00112609, -0.00116066, -0.00112415, -0.999999, 0.999998, -0.0016723, -0.00115878, 0.00259868, 0.0537401, 0.00491463
15, -0.00134697, -0.999999, 0.000151189, -0.000976636, -0.000149874, -1, 0.999999, -0.00134712, -0.000976433, -0.000267696, 0.0492898, 0.00118966
16, -0.00127675, -0.999999, 0.000576228, -0.00139648, -0.000574445, -0.999999, 0.999998, -0.00127755, -0.00139575, 0.000581665, 0.0521992, 0.00111952
17, -0.00157398, -0.999999, 0.000164257, -0.00115251, -0.000162443, -0.999999, 0.999998, -0.00157417, -0.00115225, 0.00100315, 0.0507305, 0.000117068
18, -0.00129825, -0.999999, 0.00030015, -0.00176368, -0.00029786, -0.999998, 0.999998, -0.00129878, -0.00176329, -0.000885189, 0.0537381, -0.0017549
19, -0.00108061, -0.999999, 0.000203905, -0.00146835, -0.000202318, -0.999999, 0.999998, -0.00108091, -0.00146813, -0.00194147, 0.0514655, -5.9054e-06
20, -0.000999745, -0.999999, 0.000429033, -0.00103808, -0.000427995, -0.999999, 0.999999, -0.00100019, -0.00103765, -0.00226849, 0.0472474, -0.00291352
21, -0.000332547, -1, -0.000157939, -0.00126957, 0.000158361, -0.999999, 0.999999, -0.000332346, -0.00126962, -0.00601427, 0.0499268, -0.00236678
22, -0.00189562, -0.999998, -0.000522506, -0.0011024, 0.000524596, -0.999999, 0.999998, -0.00189504, -0.00110339, 0.00274057, 0.0502689, -0.00234011
23, -0.000787246, -1, -0.000119322, -0.00138737, 0.000120414, -0.999999, 0.999999, -0.000787079, -0.00138746, -0.00475086, 0.0518574, -0.000851944
24, -0.00116381, -0.999999, -0.000223845, -0.00127737, 0.000225332, -0.999999, 0.999999, -0.00116352, -0.00127763, -0.00268, 0.0512206, -0.00111558
25, -0.001218, -0.999999, -3.27092e-05, -0.00116839, 3.41323e-05, -0.999999, 0.999999, -0.00121796, -0.00116843, -0.000450411, 0.0502143, 2.59653e-05
