# Calibration Results
# Format: filename, R11, R12, R13, R21, R22, R23, R31, R32, R33, tx, ty, tz
# ========================================
0, 3.74238e-06, -1, 5.66111e-05, -0.000286955, -5.66122e-05, -1, 1, 3.72613e-06, -0.000286955, -1.80447e-05, 0.0507833, -0.000273356
1, -0.000234942, -1, 1.60117e-05, 1.75359e-05, -1.60158e-05, -1, 1, -0.000234942, 1.75397e-05, 0.00069895, 0.0499103, 0.000169798
2, 0.00038219, -1, -8.56093e-05, -7.55634e-05, 8.55804e-05, -1, 1, 0.000382196, -7.55307e-05, -0.00101808, 0.0503193, 0.00065678
3, 0.000318103, -1, -6.1544e-05, -0.000178755, 6.14871e-05, -1, 1, 0.000318114, -0.000178735, -0.000983089, 0.0507574, 0.00083294
4, 1.11078e-05, -1, -0.000137764, -0.000122535, 0.000137763, -1, 1, 1.11247e-05, -0.000122534, -2.74816e-05, 0.050636, 0.000615011
5, 0.00011862, -1, -0.000101326, -0.000321666, 0.000101288, -1, 1, 0.000118652, -0.000321654, -0.000430662, 0.0511907, 0.000394976
6, 9.99558e-05, -1, 3.12618e-05, -0.000292247, -3.1291e-05, -1, 1, 9.99466e-05, -0.00029225, -0.000422778, 0.0510759, 0.000239108
7, -0.000206759, -1, 1.60165e-05, 0.000235565, -1.60652e-05, -1, 1, -0.000206755, 0.000235568, 0.000547261, 0.0492938, 0.000886198
8, -3.55637e-05, -1, -4.19627e-05, -2.41515e-05, 4.19636e-05, -1, 1, -3.55627e-05, -2.4153e-05, 0.00014754, 0.0500193, 3.46007e-05
9, 4.81131e-05, -1, -8.60237e-05, 0.000262711, 8.60364e-05, -1, 1, 4.80905e-05, 0.000262715, -0.000289482, 0.0488502, 0.000195518
10, 0.000204616, -1, -0.000228373, -0.000151115, 0.000228343, -1, 1, 0.00020465, -0.000151069, -0.000917185, 0.0506471, 0.000448332
11, 0.000518053, -1, -1.54023e-05, 0.000227898, 1.55203e-05, -1, 1, 0.00051805, 0.000227906, -0.00188123, 0.0492185, 0.00108071
12, -0.000129154, -1, -0.000165969, -5.00095e-05, 0.000165975, -1, 1, -0.000129145, -5.00309e-05, 0.000386499, 0.0502639, 5.78412e-05
13, 8.21567e-05, -1, 1.92543e-05, 0.000461797, -1.92163e-05, -1, 1, 8.21656e-05, 0.000461795, -0.000702122, 0.0478685, -0.000343035
14, -0.000477883, -1, -3.91801e-05, -2.14601e-05, 3.91903e-05, -1, 1, -0.000477882, -2.14789e-05, 0.00221708, 0.0501702, 0.000306559
15, -0.000205911, -1, 1.38325e-05, -0.000316813, -1.37673e-05, -1, 1, -0.000205916, -0.00031681, 0.00109017, 0.0514006, 8.48975e-05
16, -0.000509683, -1, 7.63173e-05, 6.23013e-05, -7.63491e-05, -1, 1, -0.000509678, 6.23402e-05, 0.00238501, 0.0496934, 0.000134762
17, 5.93224e-05, -1, 0.000119273, -0.000305273, -0.000119291, -1, 1, 5.9286e-05, -0.00030528, -7.46949e-05, 0.0511952, -0.000813632
18, 6.20215e-05, -1, -0.000127444, -0.000122165, 0.000127436, -1, 1, 6.20371e-05, -0.000122157, -0.00026995, 0.0502971, -0.00088496
19, -0.000782419, -1, 0.000172166, -0.000376925, -0.000171871, -1, 1, -0.000782484, -0.000376791, 0.00419979, 0.0518996, 0.000163752
20, 2.61404e-05, -1, 0.000173237, 0.000410431, -0.000173226, -1, 1, 2.62115e-05, 0.000410426, 0.00012074, 0.0479241, -0.000133916
21, -0.000663026, -1, 0.000270067, 5.67728e-05, -0.000270104, -1, 1, -0.000663011, 5.69518e-05, 0.00340236, 0.0496667, 0.000236737
22, 0.000656744, -1, -0.000469363, 0.000407615, 0.000469631, -1, 1, 0.000656553, 0.000407923, -0.00341617, 0.0483434, 0.0011944
23, 0.000123975, -1, -0.000271595, 0.000405309, 0.000271645, -1, 1, 0.000123865, 0.000405342, -0.00106468, 0.0475949, 0.000265711
24, -0.000845627, -1, 0.000277824, -6.46754e-05, -0.000277769, -1, 1, -0.000845645, -6.44405e-05, 0.00478978, 0.0506404, 0.00101582
25, -0.000621641, -1, 0.00021348, -1.86089e-05, -0.000213468, -1, 1, -0.000621645, -1.84762e-05, 0.0037173, 0.0503702, 0.000870965
